QUERY 	 DOCUMENT 	 RANK 		 RELEVANCY 	
359 	FT911-1719		55	5.8687504642194375%
359 	FT911-2998		56	5.834476664814479%
359 	FT911-4784		57	5.783494658716151%
359 	FT911-4270		58	5.64581020570737%
359 	FT911-3546		59	5.478218162056965%
359 	FT911-2596		60	5.414383090307845%
359 	FT911-679		61	5.373987435399607%
359 	FT911-1628		62	5.357161724576331%
359 	FT911-1309		63	5.344066527254919%
359 	FT911-2424		64	5.293736868351454%
359 	FT911-428		65	5.261601173714736%
359 	FT911-3404		66	5.234740769051465%
359 	FT911-965		67	5.2209016494655724%
359 	FT911-2469		68	5.2087899512871445%
359 	FT911-2291		69	5.169441583495957%
359 	FT911-5343		70	5.160714113044726%
359 	FT911-3645		71	5.127264017385808%
359 	FT911-4653		72	5.1155418968790505%
359 	FT911-2009		73	5.112357120016217%
359 	FT911-4368		74	5.108036751950504%
359 	FT911-5157		75	5.061021395759807%
359 	FT911-4975		76	5.003117626540759%
359 	FT911-4862		77	4.994110164972738%
359 	FT911-331		78	4.987956426732889%
359 	FT911-1059		79	4.856176205594881%
359 	FT911-680		80	4.849095342929976%
359 	FT911-4865		81	4.8256480929599475%
359 	FT911-984		82	4.695415090578156%
359 	FT911-2046		83	4.689736248979529%
359 	FT911-2063		84	4.671273180300683%
359 	FT911-2209		85	4.555525114804417%
359 	FT911-1645		86	4.53674720680516%
359 	FT911-3830		87	4.490119268393785%
359 	FT911-942		88	4.488660574775332%
359 	FT911-1446		89	4.473739657381775%
359 	FT911-2644		90	4.45695319380486%
359 	FT911-314		91	4.451513922636913%
359 	FT911-392		92	4.326959742722629%
359 	FT911-4202		93	4.302828704360619%
359 	FT911-4589		94	4.280463137245969%
359 	FT911-110		95	4.244730980180782%
359 	FT911-3406		96	4.195181742534439%
359 	FT911-335		97	4.183663324153356%
359 	FT911-4474		98	4.179828345607155%
359 	FT911-1529		99	4.173709099405515%
359 	FT911-1055		100	4.1396013242725065%
359 	FT911-4467		101	4.115005694554132%
359 	FT911-3646		102	4.086839152912841%
359 	FT911-3534		103	4.079332695086491%
359 	FT911-4987		104	4.032061525501831%
359 	FT911-2288		105	4.030100460387049%
359 	FT911-61		106	4.0055793198768965%
359 	FT911-3960		107	3.998134082014864%
359 	FT911-3986		108	3.9942876066326063%
359 	FT911-1279		109	3.9908409322662077%
359 	FT911-4636		110	3.954862991551808%
359 	FT911-4685		111	3.9380638099653393%
359 	FT911-3005		112	3.9314584269618007%
359 	FT911-511		113	3.9083875537525703%
359 	FT911-4024		114	3.9054163007324427%
359 	FT911-5304		115	3.891441555058729%
359 	FT911-4787		116	3.882984863071895%
359 	FT911-4870		117	3.8418007101075755%
359 	FT911-99		118	3.840123836433275%
359 	FT911-4583		119	3.805942332841817%
359 	FT911-2100		120	3.8010664648893604%
359 	FT911-3853		121	3.724951161483583%
359 	FT911-1647		122	3.7186038873009695%
359 	FT911-2222		123	3.702347041289332%
359 	FT911-5064		124	3.7014822095300643%
359 	FT911-3496		125	3.684895157200776%
359 	FT911-1096		126	3.6839722489249107%
359 	FT911-165		127	3.6781064547070392%
359 	FT911-3181		128	3.66092902486738%
359 	FT911-1521		129	3.6591466007579663%
359 	FT911-2380		130	3.6579468571930827%
359 	FT911-1426		131	3.649498962540291%
359 	FT911-5201		132	3.6452463791951417%
359 	FT911-1312		133	3.6324327236379643%
359 	FT911-2087		134	3.575926937985451%
359 	FT911-4322		135	3.549632568445662%
359 	FT911-1972		136	3.5351540514747315%
359 	FT911-3248		137	3.5282938821052956%
359 	FT911-2119		138	3.5172141392152754%
359 	FT911-3019		139	3.5142682125560416%
359 	FT911-2465		140	3.492991726676072%
359 	FT911-1861		141	3.479583892138733%
359 	FT911-2988		142	3.4331397514281923%
359 	FT911-5018		143	3.4262652335588437%
359 	FT911-2916		144	3.3996625595789634%
359 	FT911-523		145	3.3799756948214457%
359 	FT911-3461		146	3.356808559932409%
359 	FT911-632		147	3.3361164646930246%
359 	FT911-2684		148	3.33314560748438%
359 	FT911-1222		149	3.328013154485983%
359 	FT911-2584		150	3.3106197921138065%
359 	FT911-4896		151	3.3023718104701976%
359 	FT911-463		152	3.2932586721294843%
359 	FT911-2994		153	3.289414654023172%
359 	FT911-4789		154	3.2826421712939107%
359 	FT911-437		155	3.2793275443818%
359 	FT911-4200		156	3.26051157001573%
359 	FT911-1242		157	3.2469001074445147%
359 	FT911-3745		158	3.2290705165025995%
359 	FT911-2032		159	3.2148329377737634%
359 	FT911-198		160	3.197396776209207%
359 	FT911-4853		161	3.1955667577539817%
359 	FT911-2997		162	3.193844989046209%
359 	FT911-952		163	3.1886373584003866%
359 	FT911-1786		164	3.181136926593097%
359 	FT911-1083		165	3.1724183821677014%
359 	FT911-601		166	3.16329173401288%
359 	FT911-2459		167	3.1604100798796884%
359 	FT911-533		168	3.1586054402196364%
359 	FT911-999		169	3.143237657222734%
359 	FT911-1317		170	3.1386571764670412%
359 	FT911-2175		171	3.114693546330034%
359 	FT911-3258		172	3.1048737740238592%
359 	FT911-2762		173	3.0865203448006664%
359 	FT911-5039		174	3.079392963146257%
359 	FT911-3709		175	3.0786532699946614%
359 	FT911-1963		176	3.073188725538284%
359 	FT911-2709		177	3.0716275582050065%
359 	FT911-911		178	3.071161546981549%
359 	FT911-4108		179	3.067260089590141%
359 	FT911-1300		180	3.0664823545487585%
359 	FT911-1572		181	3.057293902127103%
359 	FT911-3591		182	3.017407787623806%
359 	FT911-4271		183	3.003480943473701%
359 	FT911-1830		184	3.0031771570244996%
359 	FT911-790		185	3.001058654739888%
359 	FT911-407		186	2.988226708233505%
359 	FT911-204		187	2.9841952038764514%
359 	FT911-4419		188	2.951802389077786%
359 	FT911-1702		189	2.9507129974575474%
359 	FT911-1288		190	2.9451112357123437%
359 	FT911-1587		191	2.941185921057677%
359 	FT911-1995		192	2.9399506693383954%
359 	FT911-376		193	2.935935024481228%
359 	FT911-4508		194	2.923504118816399%
359 	FT911-2396		195	2.91336534866394%
359 	FT911-2992		196	2.8845245809832574%
359 	FT911-3805		197	2.881932035222638%
359 	FT911-4435		198	2.87202732132857%
359 	FT911-4197		199	2.8678260651405805%
359 	FT911-106		200	2.862243442784122%
359 	FT911-3216		201	2.853400699972463%
359 	FT911-870		202	2.8345361502565845%
359 	FT911-4055		203	2.814336752838109%
359 	FT911-1180		204	2.787999925728196%
359 	FT911-4176		205	2.7847257063196693%
359 	FT911-242		206	2.773574491021988%
359 	FT911-2989		207	2.7639389771223972%
359 	FT911-252		208	2.7384441616979207%
359 	FT911-3378		209	2.735198105162902%
359 	FT911-4727		210	2.7292139352870697%
359 	FT911-762		211	2.721639272974611%
359 	FT911-1019		212	2.7184991867067936%
359 	FT911-2850		213	2.7127650567869552%
359 	FT911-3102		214	2.6900948403662444%
359 	FT911-4588		215	2.677663409284865%
359 	FT911-271		216	2.675577131653726%
359 	FT911-408		217	2.664601151969869%
359 	FT911-2248		218	2.6612099835009575%
359 	FT911-4553		219	2.658609729568609%
359 	FT911-830		220	2.6495484938455895%
359 	FT911-696		221	2.6436775883186288%
359 	FT911-606		222	2.62508358614156%
359 	FT911-4092		223	2.618413921199692%
359 	FT911-264		224	2.6167039845728173%
359 	FT911-3094		225	2.6066899247665334%
359 	FT911-417		226	2.6066151199461625%
359 	FT911-1066		227	2.6005111100233713%
359 	FT911-1881		228	2.5978960331109877%
359 	FT911-3710		229	2.589776011072067%
359 	FT911-713		230	2.583798905317914%
359 	FT911-3137		231	2.583293621838373%
359 	FT911-644		232	2.5801605917028443%
359 	FT911-4840		233	2.5702746023500924%
359 	FT911-3170		234	2.552149113525089%
359 	FT911-2521		235	2.549870745702031%
359 	FT911-4066		236	2.548846592612916%
359 	FT911-4929		237	2.5444995041658585%
359 	FT911-3489		238	2.5273359056580356%
359 	FT911-1474		239	2.5250687325763823%
359 	FT911-740		240	2.518307123932969%
359 	FT911-3330		241	2.4881001358336015%
359 	FT911-3939		242	2.477090938730113%
359 	FT911-2867		243	2.473104245068466%
359 	FT911-409		244	2.46999216070195%
359 	FT911-3633		245	2.469399270972974%
359 	FT911-5129		246	2.4645445116593225%
359 	FT911-1754		247	2.4613827142253175%
359 	FT911-2984		248	2.4566535296684675%
359 	FT911-1885		249	2.4563470634233493%
359 	FT911-5214		250	2.455936594121615%
359 	FT911-3275		251	2.44912170222664%
359 	FT911-2561		252	2.4482244077291555%
359 	FT911-1726		253	2.438658295656337%
359 	FT911-2826		254	2.4364205866876247%
359 	FT911-1910		255	2.4360289387745686%
359 	FT911-3936		256	2.4297857443765327%
359 	FT911-757		257	2.4274763403261717%
359 	FT911-2421		258	2.4117424843108597%
359 	FT911-4970		259	2.408837556421591%
359 	FT911-3293		260	2.3988210219304085%
359 	FT911-2337		261	2.3941923829275646%
359 	FT911-315		262	2.38870813489211%
359 	FT911-1866		263	2.384447431460487%
359 	FT911-2892		264	2.3694951731095655%
359 	FT911-3257		265	2.365666121556875%
359 	FT911-2146		266	2.3592848689318604%
359 	FT911-2999		267	2.3541832897480997%
359 	FT911-2025		268	2.35418268235184%
359 	FT911-3618		269	2.350383205599219%
359 	FT911-4836		270	2.346858925778682%
359 	FT911-937		271	2.342632728044329%
359 	FT911-1346		272	2.3422352493167278%
359 	FT911-5240		273	2.334666872963911%
359 	FT911-2829		274	2.3342589385947226%
359 	FT911-3924		275	2.3246750703333308%
359 	FT911-4201		276	2.312256609635788%
359 	FT911-138		277	2.298147051417741%
359 	FT911-2657		278	2.2792408418282872%
359 	FT911-2723		279	2.2785437109302022%
359 	FT911-697		280	2.2742884280722224%
359 	FT911-5162		281	2.264350529076597%
359 	FT911-2371		282	2.2612544852152934%
359 	FT911-136		283	2.2570234630846406%
359 	FT911-4608		284	2.255320131171211%
359 	FT911-2454		285	2.2427800118127035%
359 	FT911-1294		286	2.241184319456969%
359 	FT911-3914		287	2.2411290172243867%
359 	FT911-4355		288	2.2391381742110568%
359 	FT911-1461		289	2.2387017723174694%
359 	FT911-5300		290	2.2385615345486296%
359 	FT911-197		291	2.232456262735707%
359 	FT911-1526		292	2.2181797144633304%
359 	FT911-250		293	2.2170018910458653%
359 	FT911-1048		294	2.213284892139656%
359 	FT911-4531		295	2.197893635854766%
359 	FT911-595		296	2.1942978970284766%
359 	FT911-2871		297	2.1940150150812654%
359 	FT911-1693		298	2.1938626721028887%
359 	FT911-5168		299	2.1800599228861124%
359 	FT911-4504		300	2.1645315252430892%
359 	FT911-3865		301	2.1635478346450325%
359 	FT911-220		302	2.1426041734506107%
359 	FT911-5061		303	2.1396231062161455%
359 	FT911-4098		304	2.1383282263571357%
359 	FT911-1205		305	2.1360030441372224%
359 	FT911-1909		306	2.132611856683048%
359 	FT911-1414		307	2.1267776743245608%
359 	FT911-3027		308	2.1211270667661837%
359 	FT911-5110		309	2.1110725492578597%
359 	FT911-685		310	2.108428007500712%
359 	FT911-4895		311	2.1013960891603065%
359 	FT911-4054		312	2.0973342878887333%
359 	FT911-938		313	2.095285908285734%
359 	FT911-665		314	2.0924543766874772%
359 	FT911-4251		315	2.0858330578140314%
359 	FT911-2619		316	2.0808236492677468%
359 	FT911-5161		317	2.080240998177887%
359 	FT911-2650		318	2.0706880136038506%
359 	FT911-1556		319	2.0661602379387984%
359 	FT911-5284		320	2.0637542885919458%
359 	FT911-5296		321	2.059816136796593%
359 	FT911-2211		322	2.0553169356747345%
359 	FT911-1629		323	2.0509034299283955%
359 	FT911-2774		324	2.0493699638140064%
359 	FT911-2754		325	2.0476522470770675%
359 	FT911-2026		326	2.046181857356207%
359 	FT911-3013		327	2.0394322946209833%
359 	FT911-2923		328	2.0384923192543547%
359 	FT911-2533		329	2.035479116345789%
359 	FT911-2627		330	2.03512930526409%
359 	FT911-604		331	2.023120857042181%
359 	FT911-5118		332	2.0216725058067797%
359 	FT911-4213		333	2.020323466715892%
359 	FT911-3184		334	2.0169355338558783%
359 	FT911-1803		335	2.0168317787998697%
359 	FT911-735		336	2.0149764842697944%
359 	FT911-1479		337	2.0149165589891584%
359 	FT911-2865		338	1.992138753829142%
359 	FT911-4225		339	1.9887017114842698%
359 	FT911-3927		340	1.9872428447841328%
359 	FT911-3380		341	1.986949254136143%
359 	FT911-821		342	1.9819150323220818%
359 	FT911-1355		343	1.9810415263218817%
359 	FT911-1994		344	1.9789718945114054%
359 	FT911-4595		345	1.9746148636338106%
359 	FT911-1308		346	1.9743258691219543%
359 	FT911-5200		347	1.972592281133405%
359 	FT911-2488		348	1.9705499542241192%
359 	FT911-5274		349	1.9702269804607035%
359 	FT911-3362		350	1.9651658553250295%
359 	FT911-534		351	1.9638081563106053%
359 	FT911-2990		352	1.9569842394976087%
359 	FT911-5030		353	1.9563875062024862%
359 	FT911-3721		354	1.9563660790713002%
359 	FT911-4935		355	1.940482280954112%
359 	FT911-2750		356	1.9344161807912672%
359 	FT911-1511		357	1.9336690616868972%
359 	FT911-514		358	1.9323780857005919%
359 	FT911-2841		359	1.9283033347122571%
359 	FT911-1699		360	1.9191924108459162%
359 	FT911-2373		361	1.9153529730581726%
359 	FT911-2816		362	1.912409735081182%
359 	FT911-3109		363	1.90484040857472%
359 	FT911-2651		364	1.9012574006483929%
359 	FT911-3092		365	1.8996402153511338%
359 	FT911-3890		366	1.8995273939813273%
359 	FT911-2549		367	1.8960168873716432%
359 	FT911-3523		368	1.8936338743330616%
359 	FT911-49		369	1.89289948391221%
359 	FT911-2798		370	1.8917393897737143%
359 	FT911-4627		371	1.8838889704053854%
359 	FT911-727		372	1.8837818538764677%
359 	FT911-1848		373	1.8837637276084427%
359 	FT911-5324		374	1.8836015107994222%
359 	FT911-3498		375	1.8768621194539445%
359 	FT911-2416		376	1.874192896360604%
359 	FT911-3617		377	1.868717750312932%
359 	FT911-5120		378	1.8650079899082042%
359 	FT911-2689		379	1.8600466526924146%
359 	FT911-4907		380	1.8597229347142377%
359 	FT911-5114		381	1.855506875430429%
359 	FT911-3563		382	1.8539999945251895%
359 	FT911-646		383	1.8531723969399136%
359 	FT911-1973		384	1.852031284591523%
359 	FT911-3210		385	1.850861544249778%
359 	FT911-1584		386	1.841896377803668%
359 	FT911-4342		387	1.8405389762548456%
359 	FT911-1831		388	1.8396950290990806%
359 	FT911-3215		389	1.8362865462811764%
359 	FT911-1077		390	1.8310688009946705%
359 	FT911-2985		391	1.8221710567260858%
359 	FT911-3001		392	1.812209996808643%
359 	FT911-3604		393	1.8116226159274815%
359 	FT911-4339		394	1.8095842895308794%
359 	FT911-1274		395	1.807266026699326%
359 	FT911-3289		396	1.801190838720368%
359 	FT911-5299		397	1.795323481374429%
359 	FT911-853		398	1.794261605398172%
359 	FT911-2656		399	1.7898666676230672%
359 	FT911-1524		400	1.788746997504887%
359 	FT911-2663		401	1.7869108722143174%
359 	FT911-2374		402	1.7851425519142479%
359 	FT911-2334		403	1.783629224888275%
359 	FT911-4479		404	1.783187275171165%
359 	FT911-4554		405	1.782653446095547%
359 	FT911-1150		406	1.7784137868593013%
359 	FT911-1140		407	1.7777532804119884%
359 	FT911-3743		408	1.776048662379163%
359 	FT911-2993		409	1.774400788014188%
359 	FT911-294		410	1.7713717183416027%
359 	FT911-4848		411	1.770436187519387%
359 	FT911-4027		412	1.7661548078308245%
359 	FT911-3868		413	1.765840834414974%
359 	FT911-1700		414	1.7459314962850685%
359 	FT911-3440		415	1.7446670700112288%
359 	FT911-738		416	1.7411177047050104%
359 	FT911-4763		417	1.7381277969659912%
359 	FT911-4786		418	1.7366619938721586%
359 	FT911-1018		419	1.73358756326959%
359 	FT911-1499		420	1.7303067654715847%
359 	FT911-226		421	1.7257573619875135%
359 	FT911-3768		422	1.7250803423976242%
359 	FT911-1174		423	1.7196802992410058%
359 	FT911-1688		424	1.718354606253995%
359 	FT911-3872		425	1.7175299352924327%
359 	FT911-460		426	1.7116960522438904%
359 	FT911-152		427	1.7113442502016247%
359 	FT911-1027		428	1.7113341997147746%
359 	FT911-1541		429	1.7099329338396634%
359 	FT911-4973		430	1.7087663004076576%
359 	FT911-1651		431	1.70651480072619%
359 	FT911-22		432	1.7014364785402845%
359 	FT911-531		433	1.696196741648797%
359 	FT911-693		434	1.6893755308235427%
359 	FT911-4980		435	1.6884382058188054%
359 	FT911-2879		436	1.6883019463960307%
359 	FT911-755		437	1.6858127454473146%
359 	FT911-3363		438	1.6856195939780696%
359 	FT911-4119		439	1.6824155763037991%
359 	FT911-3044		440	1.6718674198871921%
359 	FT911-3110		441	1.671156868247674%
359 	FT911-4938		442	1.669125031860268%
359 	FT911-3043		443	1.6687871680362194%
359 	FT911-3630		444	1.6679178877372733%
359 	FT911-1615		445	1.6542901964372332%
359 	FT911-5314		446	1.6518253990034346%
359 	FT911-3229		447	1.6517557629945074%
359 	FT911-4117		448	1.6512718730410454%
359 	FT911-899		449	1.651250519891161%
359 	FT911-627		450	1.6504122871497522%
359 	FT911-2287		451	1.647088687139513%
359 	FT911-3643		452	1.632156364320932%
359 	FT911-1673		453	1.6293005692199762%
359 	FT911-2615		454	1.6258253136069056%
359 	FT911-5294		455	1.6238430104739003%
359 	FT911-1616		456	1.617040173555912%
359 	FT911-852		457	1.6056441738687113%
359 	FT911-190		458	1.6051440419716967%
359 	FT911-4661		459	1.604912831262504%
359 	FT911-2161		460	1.6033926174198436%
359 	FT911-1026		461	1.6023824402025797%
359 	FT911-2197		462	1.6000094334297381%
359 	FT911-1729		463	1.5984558287462056%
359 	FT911-598		464	1.5950086136865165%
359 	FT911-4207		465	1.591081966999572%
359 	FT911-4324		466	1.590683257742765%
359 	FT911-888		467	1.5846049062862526%
359 	FT911-1953		468	1.5766633541700812%
359 	FT911-3167		469	1.571409781976656%
359 	FT911-1576		470	1.5635607052499358%
359 	FT911-436		471	1.5635516156549158%
359 	FT911-2848		472	1.561277564130851%
359 	FT911-505		473	1.559561316457004%
359 	FT911-2924		474	1.558223883298665%
359 	FT911-951		475	1.556482684071779%
359 	FT911-4739		476	1.5546996788237364%
359 	FT911-3576		477	1.553490188478209%
359 	FT911-2714		478	1.5526565033042643%
359 	FT911-141		479	1.550034724491867%
359 	FT911-2940		480	1.533233826186649%
359 	FT911-1534		481	1.5319822107610797%
359 	FT911-3131		482	1.5315895587669925%
359 	FT911-3111		483	1.5272875771597196%
359 	FT911-1741		484	1.5241399072157127%
359 	FT911-628		485	1.5221416948019755%
359 	FT911-4307		486	1.5169803734302576%
359 	FT911-2082		487	1.5113419221187812%
359 	FT911-384		488	1.5039776994459964%
359 	FT911-4890		489	1.499467771729029%
359 	FT911-1194		490	1.4977835187801924%
359 	FT911-1462		491	1.4922522093148793%
359 	FT911-2693		492	1.4918263833136376%
359 	FT911-5295		493	1.4902273949693905%
359 	FT911-3729		494	1.490033699161995%
359 	FT911-1601		495	1.4898637536786563%
359 	FT911-2406		496	1.487539554373525%
359 	FT911-2548		497	1.4796639550024302%
359 	FT911-3241		498	1.475699277593633%
359 	FT911-3312		499	1.473145049391288%
359 	FT911-4384		500	1.4703788940054578%
359 	FT911-4257		501	1.468871782671595%
359 	FT911-1440		502	1.4672172319432095%
359 	FT911-855		503	1.4646704031912514%
359 	FT911-3701		504	1.4644441625423346%
359 	FT911-1445		505	1.46434712747077%
359 	FT911-4538		506	1.4598876625797281%
359 	FT911-4574		507	1.458423416166417%
359 	FT911-4860		508	1.4568146818890615%
359 	FT911-512		509	1.4543969776490444%
359 	FT911-4486		510	1.452824574567512%
359 	FT911-435		511	1.450975552315973%
359 	FT911-3209		512	1.4478668240418964%
359 	FT911-1712		513	1.4456457509674943%
359 	FT911-4962		514	1.4444780353492936%
359 	FT911-1539		515	1.4423128987094542%
359 	FT911-3084		516	1.4421946291179593%
359 	FT911-4315		517	1.4418976539406947%
359 	FT911-2174		518	1.4416701115762816%
359 	FT911-719		519	1.4413439255442406%
359 	FT911-1195		520	1.4396553760531152%
359 	FT911-5102		521	1.4383586131847987%
359 	FT911-725		522	1.4376474275158035%
359 	FT911-154		523	1.4344658727859072%
359 	FT911-3928		524	1.430641394481014%
359 	FT911-3945		525	1.4292092660419897%
359 	FT911-1760		526	1.42788484890662%
359 	FT911-3141		527	1.426879398735144%
359 	FT911-2589		528	1.4242542237837692%
359 	FT911-5019		529	1.4226039752741306%
359 	FT911-4191		530	1.4215461358405104%
359 	FT911-1070		531	1.4205543747118843%
359 	FT911-2388		532	1.4186634922028598%
359 	FT911-3752		533	1.4185688955698232%
359 	FT911-521		534	1.418514799551704%
359 	FT911-312		535	1.4176170665720134%
359 	FT911-2776		536	1.4163898012168596%
359 	FT911-2017		537	1.416258469803082%
359 	FT911-530		538	1.4145517396651943%
359 	FT911-34		539	1.4082358446892782%
359 	FT911-5252		540	1.4057923871775113%
359 	FT911-2555		541	1.405260994389198%
359 	FT911-630		542	1.4043340708315277%
359 	FT911-1839		543	1.404204001673238%
359 	FT911-3230		544	1.4035018278659785%
359 	FT911-2451		545	1.4001929738241023%
359 	FT911-2842		546	1.400155488642858%
359 	FT911-1431		547	1.3996437860591313%
359 	FT911-3864		548	1.3964025234720976%
359 	FT911-488		549	1.3963819867784322%
359 	FT911-3551		550	1.393047085309255%
359 	FT911-3014		551	1.3886345185877624%
359 	FT911-1635		552	1.3872163192171243%
359 	FT911-2913		553	1.3796572573857873%
359 	FT911-3004		554	1.3749295367035133%
359 	FT911-1836		555	1.374697114831468%
359 	FT911-1179		556	1.3711359508818037%
359 	FT911-4005		557	1.3695209145421123%
359 	FT911-2343		558	1.3686731042057123%
359 	FT911-4785		559	1.3668299783215698%
359 	FT911-3414		560	1.364931796620042%
359 	FT911-1065		561	1.3624912988049531%
359 	FT911-4073		562	1.3565022788780932%
359 	FT911-3626		563	1.354919819858983%
359 	FT911-5309		564	1.354201945333094%
359 	FT911-2165		565	1.3521985621298707%
359 	FT911-2332		566	1.3498532677877904%
359 	FT911-5190		567	1.3465891639744543%
359 	FT911-3921		568	1.345319785200253%
359 	FT911-4447		569	1.3448627115806786%
359 	FT911-1384		570	1.3441754195813034%
359 	FT911-2882		571	1.3420128934483988%
359 	FT911-2414		572	1.341775759485846%
359 	FT911-3620		573	1.3410517993999207%
359 	FT911-3003		574	1.3375739688979897%
359 	FT911-4904		575	1.3374106718300502%
359 	FT911-1296		576	1.3354153483015205%
359 	FT911-33		577	1.3341171622082846%
359 	FT911-5253		578	1.331398706409032%
359 	FT911-3669		579	1.329037518869173%
359 	FT911-401		580	1.3247578107269384%
359 	FT911-5137		581	1.3201165843963762%
359 	FT911-2286		582	1.3172427734252323%
359 	FT911-3907		583	1.3163633750713855%
359 	FT911-2773		584	1.3087972865012933%
359 	FT911-5068		585	1.3087470293205008%
359 	FT911-1209		586	1.3085639312289885%
359 	FT911-288		587	1.2997593447932845%
359 	FT911-810		588	1.2989596326295123%
359 	FT911-936		589	1.2976406993582117%
359 	FT911-4551		590	1.2936158899785593%
359 	FT911-5099		591	1.2935805191216916%
359 	FT911-918		592	1.2934047519767085%
359 	FT911-3311		593	1.2878438229459994%
359 	FT911-2038		594	1.2864738015854436%
359 	FT911-4153		595	1.2852723393734997%
359 	FT911-765		596	1.283578036806427%
359 	FT911-2967		597	1.282034417707815%
359 	FT911-4450		598	1.2791942021412128%
359 	FT911-131		599	1.2771191533962585%
359 	FT911-5303		600	1.2628677050272137%
359 	FT911-1125		601	1.2623689141188552%
359 	FT911-2978		602	1.2623689141188552%
359 	FT911-674		603	1.2623689141188552%
359 	FT911-4373		604	1.2623689141188552%
359 	FT911-3281		605	1.2623689141188552%
359 	FT911-128		606	1.2623689141188552%
359 	FT911-3774		607	1.2623689141188552%
359 	FT911-2194		608	1.2623689141188552%
359 	FT911-3559		609	1.2623689141188552%
359 	FT911-1701		610	1.2593485153632356%
359 	FT911-4162		611	1.2593485153632356%
359 	FT911-452		612	1.2593485153632356%
359 	FT911-3259		613	1.258498458823079%
359 	FT911-3398		614	1.2582910970864998%
359 	FT911-1764		615	1.2574765203889475%
359 	FT911-3187		616	1.2568234635708095%
359 	FT911-2055		617	1.2552104116370801%
359 	FT911-3096		618	1.2518087309244486%
359 	FT911-4913		619	1.2514938745800295%
359 	FT911-4792		620	1.2510560635384833%
359 	FT911-5049		621	1.2509190460078312%
359 	FT911-5172		622	1.2474875396427962%
359 	FT911-4437		623	1.2459382916916708%
359 	FT911-4883		624	1.2457746724397933%
359 	FT911-4639		625	1.2457746724397933%
359 	FT911-2683		626	1.2441713521811064%
359 	FT911-4396		627	1.2425674519005014%
359 	FT911-2626		628	1.2382898014995418%
359 	FT911-1463		629	1.2381788722101192%
359 	FT911-585		630	1.2371972151267383%
359 	FT911-4665		631	1.2342502669986863%
359 	FT911-1696		632	1.2341548583798985%
359 	FT911-4596		633	1.2334631434996657%
359 	FT911-4663		634	1.2324907045979576%
359 	FT911-5023		635	1.2323844447881875%
359 	FT911-1979		636	1.2318920777372908%
359 	FT911-2602		637	1.231680474154338%
359 	FT911-3071		638	1.231594044042178%
359 	FT911-4034		639	1.2294924234372622%
359 	FT911-1781		640	1.2245691510574266%
359 	FT911-1731		641	1.2237902917107424%
359 	FT911-396		642	1.221065322952764%
359 	FT911-4928		643	1.220733593065044%
359 	FT911-2259		644	1.2197335910379676%
359 	FT911-635		645	1.2187893164311319%
359 	FT911-3781		646	1.217419815298735%
359 	FT911-2297		647	1.2153029937813749%
359 	FT911-2524		648	1.2137080460188199%
359 	FT911-1942		649	1.2080379532858387%
359 	FT911-1147		650	1.2064821571572548%
359 	FT911-4774		651	1.2062419566480544%
