QUERY 	 DOCUMENT 	 RANK 		 RELEVANCY 	
359 	FT911-5304		194	3.91115372644477%
359 	FT911-248		195	3.906811229727189%
359 	FT911-4092		196	3.8798063297114855%
359 	FT911-4870		197	3.861261424847131%
359 	FT911-99		198	3.859576056937265%
359 	FT911-729		199	3.859482234282184%
359 	FT911-1424		200	3.858646445413842%
359 	FT911-2009		201	3.853690396854639%
359 	FT911-4553		202	3.8293720480887194%
359 	FT911-4583		203	3.8252214062877066%
359 	FT911-2300		204	3.8249935019227665%
359 	FT911-3406		205	3.82394659539354%
359 	FT911-3468		206	3.823177613730633%
359 	FT911-680		207	3.816875725117588%
359 	FT911-4865		208	3.8077742123127654%
359 	FT911-2454		209	3.8045070751648966%
359 	FT911-4025		210	3.7970508211127663%
359 	FT911-3040		211	3.766426423904714%
359 	FT911-4585		212	3.737931724436893%
359 	FT911-5171		213	3.734296679427254%
359 	FT911-4789		214	3.730887371057867%
359 	FT911-5064		215	3.7202321382298247%
359 	FT911-3504		216	3.7122946421176692%
359 	FT911-3303		217	3.706188586565086%
359 	FT911-1096		218	3.7026334805854044%
359 	FT911-1316		219	3.6981707300604483%
359 	FT911-1174		220	3.6932471155066953%
359 	FT911-1280		221	3.6681861278156958%
359 	FT911-2522		222	3.664771301318842%
359 	FT911-5201		223	3.6637114442242256%
359 	FT911-1317		224	3.656773069758928%
359 	FT911-4271		225	3.651387131849134%
359 	FT911-21		226	3.6466528354253236%
359 	FT911-4419		227	3.645947187646597%
359 	FT911-696		228	3.645538973920087%
359 	FT911-4138		229	3.634041576932498%
359 	FT911-3098		230	3.632245701244025%
359 	FT911-2646		231	3.6294646154868104%
359 	FT911-2845		232	3.622481416345321%
359 	FT911-761		233	3.6141387443042827%
359 	FT911-734		234	3.6129854480169623%
359 	FT911-2510		235	3.608288228097793%
359 	FT911-1552		236	3.572192911148891%
359 	FT911-4322		237	3.5676132998935515%
359 	FT911-3646		238	3.553976693005359%
359 	FT911-3248		239	3.5461665220307146%
359 	FT911-4734		240	3.5328425179924134%
359 	FT911-4970		241	3.527344592063211%
359 	FT911-4201		242	3.5243183020420377%
359 	FT911-3246		243	3.5221223564391955%
359 	FT911-151		244	3.521900833113198%
359 	FT911-2063		245	3.5212017027386904%
359 	FT911-5039		246	3.511187085860383%
359 	FT911-1861		247	3.497209790681338%
359 	FT911-3293		248	3.496114537020051%
359 	FT911-5298		249	3.4900898501302784%
359 	FT911-3275		250	3.478907863407167%
359 	FT911-4474		251	3.473127245619974%
359 	FT911-198		252	3.453508247496427%
359 	FT911-2988		253	3.4505303862905885%
359 	FT911-821		254	3.446914344681709%
359 	FT911-3331		255	3.442884404724526%
359 	FT911-1836		256	3.437655045343712%
359 	FT911-2916		257	3.4168836150878166%
359 	FT911-4782		258	3.406202821355105%
359 	FT911-3591		259	3.3982412087589626%
359 	FT911-2826		260	3.386128411694815%
359 	FT911-1830		261	3.3822145001624184%
359 	FT911-5300		262	3.3658971274142644%
359 	FT911-3709		263	3.3601923612712215%
359 	FT911-1066		264	3.355903294794664%
359 	FT911-2684		265	3.3500297201042772%
359 	FT911-1222		266	3.3448712685673683%
359 	FT911-3740		267	3.3306334271771534%
359 	FT911-2584		268	3.3273897997864976%
359 	FT911-3843		269	3.324038827922706%
359 	FT911-4896		270	3.3191000378346285%
359 	FT911-2762		271	3.3107345226100664%
359 	FT911-2719		272	3.307560072812749%
359 	FT911-376		273	3.3019664077898545%
359 	FT911-3806		274	3.299915201029563%
359 	FT911-2277		275	3.2844745438361884%
359 	FT911-2773		276	3.27286174294831%
359 	FT911-4905		277	3.237455966040191%
359 	FT911-5099		278	3.234809726549975%
359 	FT911-918		279	3.234370192047256%
359 	FT911-20		280	3.2314380547314254%
359 	FT911-606		281	3.2310658135108006%
359 	FT911-1061		282	3.223954022213142%
359 	FT911-2396		283	3.2234400071776768%
359 	FT911-2248		284	3.216662881722575%
359 	FT911-952		285	3.2047894617295527%
359 	FT911-2984		286	3.203931019166734%
359 	FT911-2032		287	3.1889234759924077%
359 	FT911-1083		288	3.1884883279635527%
359 	FT911-4987		289	3.1824172871414333%
359 	FT911-533		290	3.1746054162947104%
359 	FT911-3350		291	3.1690831732035067%
359 	FT911-2061		292	3.1623889338849556%
359 	FT911-693		293	3.161644646607395%
359 	FT911-2115		294	3.160856375335716%
359 	FT911-999		295	3.159159787500057%
359 	FT911-1125		296	3.156760001811571%
359 	FT911-2978		297	3.156760001811571%
359 	FT911-674		298	3.156760001811571%
359 	FT911-4373		299	3.156760001811571%
359 	FT911-3281		300	3.156760001811571%
359 	FT911-128		301	3.156760001811571%
359 	FT911-3774		302	3.156760001811571%
359 	FT911-2194		303	3.156760001811571%
359 	FT911-3559		304	3.156760001811571%
359 	FT911-3314		305	3.1497060089688182%
359 	FT911-2521		306	3.1494974421574216%
359 	FT911-1701		307	3.1492070005655624%
359 	FT911-4162		308	3.1492070005655624%
359 	FT911-452		309	3.1492070005655624%
359 	FT911-2992		310	3.137244234513472%
359 	FT911-842		311	3.1340654301745032%
359 	FT911-3137		312	3.1329373059392394%
359 	FT911-2175		313	3.1304710858694462%
359 	FT911-3258		314	3.1206015713194444%
359 	FT911-4533		315	3.1188842867778255%
359 	FT911-4883		316	3.115263385563363%
359 	FT911-4639		317	3.115263385563363%
359 	FT911-3005		318	3.1122702191695146%
359 	FT911-4348		319	3.1117791048712036%
359 	FT911-252		320	3.1048298713040157%
359 	FT911-4467		321	3.101887750763215%
359 	FT911-1463		322	3.096268844364982%
359 	FT911-4027		323	3.0958301752424617%
359 	FT911-4108		324	3.082797354050136%
359 	FT911-2372		325	3.0633183775602464%
359 	FT911-5187		326	3.0405129384637983%
359 	FT911-4207		327	3.032016986314435%
359 	FT911-4580		328	3.0299486530541064%
359 	FT911-1942		329	3.02089654533746%
359 	FT911-790		330	3.0157223344153694%
359 	FT911-2627		331	3.01303799271409%
359 	FT911-1201		332	3.0128756855761094%
359 	FT911-2278		333	3.0113099760859225%
359 	FT911-3986		334	3.0108905599902127%
359 	FT911-165		335	3.008337226231483%
359 	FT911-204		336	2.9993117015742627%
359 	FT911-601		337	2.998360795432628%
359 	FT911-2437		338	2.996318427833727%
359 	FT911-4904		339	2.9820204201322156%
359 	FT911-3102		340	2.976406421362653%
359 	FT911-1702		341	2.9656598904004174%
359 	FT911-3930		342	2.9650316044953673%
359 	FT911-1288		343	2.960029752824298%
359 	FT911-1587		344	2.956084554413414%
359 	FT911-2641		345	2.951029772736512%
359 	FT911-4508		346	2.9383131846657853%
359 	FT911-2892		347	2.937378628399955%
359 	FT911-3939		348	2.9340560390371007%
359 	FT911-3578		349	2.92285452795227%
359 	FT911-220		350	2.9222710671516308%
359 	FT911-3654		351	2.9197301516166965%
359 	FT911-738		352	2.9194715963389033%
359 	FT911-1730		353	2.916697876505333%
359 	FT911-4596		354	2.9136372758063778%
359 	FT911-1318		355	2.9129410072418627%
359 	FT911-401		356	2.9087141947060946%
359 	FT911-3805		357	2.896530516890024%
359 	FT911-2533		358	2.891340310780989%
359 	FT911-3876		359	2.8894259424337645%
359 	FT911-1648		360	2.887533908661212%
359 	FT911-804		361	2.8864119370259176%
359 	FT911-2119		362	2.8857471411788613%
359 	FT911-615		363	2.881361471765965%
359 	FT911-2014		364	2.8795410285124423%
359 	FT911-106		365	2.876742191511155%
359 	FT911-4907		366	2.8697381519539125%
359 	FT911-5185		367	2.867794683642866%
359 	FT911-3001		368	2.8663681336696665%
359 	FT911-4289		369	2.8595058158342463%
359 	FT911-870		370	2.8488945471650897%
359 	FT911-4588		371	2.826939527641144%
359 	FT911-3170		372	2.821173897217841%
359 	FT911-2622		373	2.8175768560944086%
359 	FT911-994		374	2.814496302811987%
359 	FT911-1755		375	2.813257678989771%
359 	FT911-1384		376	2.808087017625469%
359 	FT911-1180		377	2.8021225925041566%
359 	FT911-2860		378	2.801926170384773%
359 	FT911-2929		379	2.790450242273214%
359 	FT911-1532		380	2.789791266633864%
359 	FT911-4816		381	2.780769433071182%
359 	FT911-3496		382	2.7776707979030526%
359 	FT911-2103		383	2.7742469098839915%
359 	FT911-2625		384	2.7693555224127246%
359 	FT911-1079		385	2.76902717297416%
359 	FT911-1279		386	2.7661057973319605%
359 	FT911-862		387	2.760531487809872%
359 	FT911-1210		388	2.7562861149830704%
359 	FT911-4258		389	2.751182695542417%
359 	FT911-3378		390	2.7490533033101423%
359 	FT911-4727		391	2.743038820507718%
359 	FT911-4729		392	2.74254515847155%
359 	FT911-762		393	2.7354257885989073%
359 	FT911-1443		394	2.7331349783623193%
359 	FT911-1019		395	2.732269796164236%
359 	FT911-2100		396	2.7306689795191783%
359 	FT911-2656		397	2.728096798872411%
359 	FT911-2850		398	2.7265066198999697%
359 	FT911-3665		399	2.7195629388473224%
359 	FT911-2122		400	2.718964460979135%
359 	FT911-4554		401	2.7171024790637084%
359 	FT911-5323		402	2.709616285974508%
359 	FT911-4104		403	2.7004472306382157%
359 	FT911-4344		404	2.6819182292196886%
359 	FT911-408		405	2.6780987399048053%
359 	FT911-2943		406	2.677765796345451%
359 	FT911-697		407	2.676161269057254%
359 	FT911-4627		408	2.6572829662373865%
359 	FT911-4265		409	2.652209097308761%
359 	FT911-4213		410	2.650376866930782%
359 	FT911-3019		411	2.649052353888724%
359 	FT911-94		412	2.642068251347078%
359 	FT911-3888		413	2.637638450725669%
359 	FT911-4085		414	2.630907585904237%
359 	FT911-264		415	2.629958948493162%
359 	FT911-2774		416	2.6272982723713616%
359 	FT911-329		417	2.61560791102295%
359 	FT911-2589		418	2.6147565884695347%
359 	FT911-5295		419	2.6121667913049222%
359 	FT911-1881		420	2.6110557249946362%
359 	FT911-1556		421	2.6085712015641778%
359 	FT911-2657		422	2.602885106531525%
359 	FT911-2291		423	2.5978137441953217%
359 	FT911-713		424	2.5968871879319693%
359 	FT911-2714		425	2.5949667969568915%
359 	FT911-1715		426	2.59350203745822%
359 	FT911-5343		427	2.593427904385728%
359 	FT911-190		428	2.5895196240891245%
359 	FT911-4153		429	2.58678725278517%
359 	FT911-2441		430	2.5804448453043345%
359 	FT911-2237		431	2.5702440547833048%
359 	FT911-5299		432	2.5666809318970745%
359 	FT911-1898		433	2.5637534717949175%
359 	FT911-4929		434	2.55738871491415%
359 	FT911-2891		435	2.5508461590375786%
359 	FT911-3767		436	2.5479654197627726%
359 	FT911-783		437	2.5424249100512157%
359 	FT911-3359		438	2.5331321746803193%
359 	FT911-5278		439	2.5263889214417508%
359 	FT911-682		440	2.5256730293240595%
359 	FT911-3407		441	2.5159512372506985%
359 	FT911-1122		442	2.5148604091841116%
359 	FT911-4975		443	2.5142305071302924%
359 	FT911-5162		444	2.5053493853926483%
359 	FT911-3519		445	2.503894651622836%
359 	FT911-1857		446	2.5037693308859055%
359 	FT911-2934		447	2.5019073859345697%
359 	FT911-1629		448	2.5013238827400484%
359 	FT911-3330		449	2.500703654506373%
359 	FT911-4327		450	2.497409842191076%
359 	FT911-1867		451	2.491781476959396%
359 	FT911-3745		452	2.487697629567601%
359 	FT911-5168		453	2.4857490873196957%
359 	FT911-409		454	2.4825039530814705%
359 	FT911-3633		455	2.481908060058269%
359 	FT911-983		456	2.4789575758513953%
359 	FT911-4531		457	2.472670311551544%
359 	FT911-3827		458	2.471165595752684%
359 	FT911-5214		459	2.4683771877606584%
359 	FT911-4479		460	2.4656840856571804%
359 	FT911-2112		461	2.464364500051373%
359 	FT911-2632		462	2.4643014624348156%
359 	FT911-2723		463	2.4597433064568444%
359 	FT911-2523		464	2.4542887281881174%
359 	FT911-3093		465	2.453034574614028%
359 	FT911-5015		466	2.452182016557778%
359 	FT911-1972		467	2.4502630603953985%
359 	FT911-1910		468	2.4483686898059194%
359 	FT911-831		469	2.443580793270494%
359 	FT911-2070		470	2.4350334872464705%
359 	FT911-3849		471	2.429744473598639%
359 	FT911-1766		472	2.426670987263753%
359 	FT911-1300		473	2.4266348310117722%
359 	FT911-2421		474	2.4239592118441124%
359 	FT911-3529		475	2.4225253860288025%
359 	FT911-520		476	2.4107094197710897%
359 	FT911-2754		477	2.409477869423378%
359 	FT911-3380		478	2.399833414762812%
359 	FT911-3128		479	2.3993436618011077%
359 	FT911-1866		480	2.396525895383156%
359 	FT911-937		481	2.3904144117690143%
359 	FT911-4757		482	2.384738015935624%
359 	FT911-2459		483	2.382314398043524%
359 	FT911-3257		484	2.377649448396169%
359 	FT911-276		485	2.375377841759107%
359 	FT911-2848		486	2.373105951168352%
359 	FT911-4675		487	2.37227416149711%
359 	FT911-2025		488	2.366107839610913%
359 	FT911-3927		489	2.3645021199786154%
359 	FT911-3004		490	2.362457557496187%
359 	FT911-3618		491	2.362289116536366%
359 	FT911-984		492	2.359599902617914%
359 	FT911-4836		493	2.358746984409209%
359 	FT911-3952		494	2.3573314921560216%
359 	FT911-3356		495	2.347871253194025%
359 	FT911-5264		496	2.346884220674141%
359 	FT911-5240		497	2.3464931725184677%
359 	FT911-2352		498	2.3436915844717894%
359 	FT911-1831		499	2.339773954103021%
359 	FT911-1334		500	2.3385847030686246%
359 	FT911-2505		501	2.3286472787042434%
359 	FT911-3627		502	2.3218422343136536%
359 	FT911-1343		503	2.321342532771532%
359 	FT911-2031		504	2.320816150531726%
359 	FT911-335		505	2.3208068961249837%
359 	FT911-3630		506	2.318066174165557%
359 	FT911-2373		507	2.317956900039482%
359 	FT911-2993		508	2.3175487539400916%
359 	FT911-1963		509	2.316567016212527%
359 	FT911-2561		510	2.3117692563679753%
359 	FT911-1474		511	2.307192367286426%
359 	FT911-521		512	2.305855163461597%
359 	FT911-2913		513	2.304703255609469%
359 	FT911-2055		514	2.3044128210652213%
359 	FT911-5252		515	2.2937747942358686%
359 	FT911-3181		516	2.2895343034400897%
359 	FT911-4125		517	2.2879259089937953%
359 	FT911-3523		518	2.2871272819330235%
359 	FT911-3732		519	2.284745501427781%
359 	FT911-1534		520	2.28304617508482%
359 	FT911-5324		521	2.2750102129203356%
359 	FT911-2197		522	2.2727679863453605%
359 	FT911-339		523	2.270935511355391%
359 	FT911-4608		524	2.2667444982925007%
359 	FT911-2026		525	2.263960633700785%
359 	FT911-5075		526	2.2627748373133576%
359 	FT911-5040		527	2.2567877287305116%
359 	FT911-4060		528	2.250277066079167%
359 	FT911-1461		529	2.250041958825163%
359 	FT911-628		530	2.249369828191747%
359 	FT911-3551		531	2.247351434116391%
359 	FT911-3461		532	2.2462520819790353%
359 	FT911-1436		533	2.2454367273885825%
359 	FT911-1699		534	2.2453651224756452%
359 	FT911-1541		535	2.2447323415408076%
359 	FT911-2221		536	2.2442108478623046%
359 	FT911-3240		537	2.242885076579118%
359 	FT911-154		538	2.2428257337998603%
359 	FT911-4740		539	2.2355760926188113%
359 	FT911-1526		540	2.229415946095718%
359 	FT911-250		541	2.228232156391277%
359 	FT911-3596		542	2.2258258535523137%
359 	FT911-45		543	2.219729226328505%
359 	FT911-5037		544	2.2195706366059658%
359 	FT911-2082		545	2.2180177047193146%
359 	FT911-1153		546	2.2173051422171874%
359 	FT911-1154		547	2.212439047691757%
359 	FT911-2871		548	2.2051288399682423%
359 	FT911-1693		549	2.2049757252936044%
359 	FT911-5233		550	2.204349685897459%
359 	FT911-4068		551	2.198052899996584%
359 	FT911-1406		552	2.19042616044341%
359 	FT911-4603		553	2.1883720666646864%
359 	FT911-1195		554	2.188243025477068%
359 	FT911-2956		555	2.187858656340734%
359 	FT911-1754		556	2.1873114730226613%
359 	FT911-4595		557	2.1847766374800566%
359 	FT911-3052		558	2.183959238121196%
359 	FT911-5342		559	2.1809089436395355%
359 	FT911-2816		560	2.180568847514054%
359 	FT911-4504		561	2.1754960009501985%
359 	FT911-5061		562	2.1504614078518043%
359 	FT911-4098		563	2.1491599687541827%
359 	FT911-2457		564	2.148926540778414%
359 	FT911-4325		565	2.1434755900955094%
359 	FT911-1909		566	2.1434146427005305%
359 	FT911-3092		567	2.1393978262068436%
359 	FT911-86		568	2.137618848398219%
359 	FT911-1414		569	2.13755090718008%
359 	FT911-326		570	2.1362137450997754%
359 	FT911-2649		571	2.1343053780682775%
359 	FT911-110		572	2.1331163729425553%
359 	FT911-3027		573	2.1318716763613885%
359 	FT911-1887		574	2.1271653664701193%
359 	FT911-1696		575	2.126090295673501%
359 	FT911-141		576	2.1228847978537164%
359 	FT911-5110		577	2.1217662275029405%
359 	FT911-685		578	2.119108289769105%
359 	FT911-4459		579	2.1177614578806514%
359 	FT911-4895		580	2.112040751112285%
359 	FT911-4054		581	2.1079583747089345%
359 	FT911-938		582	2.1058996190000046%
359 	FT911-138		583	2.1030028211541993%
359 	FT911-4584		584	2.102554663704727%
359 	FT911-3890		585	2.1016974748111683%
359 	FT911-1634		586	2.0994331886076334%
359 	FT911-665		587	2.0992764170342%
359 	FT911-2990		588	2.099145496585725%
359 	FT911-4251		589	2.0963988849340227%
359 	FT911-5161		590	2.0907784986131803%
359 	FT911-2621		591	2.08850170503735%
359 	FT911-627		592	2.0794019839708158%
359 	FT911-2380		593	2.0782220106614093%
359 	FT911-4720		594	2.074931804327093%
359 	FT911-5284		595	2.0742082752855184%
359 	FT911-2211		596	2.06572818279625%
359 	FT911-591		597	2.0641015078881817%
359 	FT911-132		598	2.061762844510228%
359 	FT911-4706		599	2.05970671127362%
359 	FT911-1979		600	2.0581484357581745%
359 	FT911-727		601	2.0560514096827878%
359 	FT911-336		602	2.0558763353512113%
359 	FT911-3104		603	2.053954571608185%
359 	FT911-635		604	2.051969232841978%
359 	FT911-1554		605	2.0504181108669535%
359 	FT911-3243		606	2.04962474772512%
359 	FT911-884		607	2.049411757143421%
359 	FT911-4879		608	2.039765798350911%
359 	FT911-3576		609	2.039360491474308%
359 	FT911-604		610	2.033369014313577%
359 	FT911-5118		611	2.0319133264273805%
359 	FT911-4447		612	2.029198103628395%
359 	FT911-5102		613	2.0288682048947515%
359 	FT911-3184		614	2.027152359254753%
359 	FT911-1803		615	2.0270480786255303%
359 	FT911-735		616	2.0251833860656423%
359 	FT911-3018		617	2.0245200146965607%
359 	FT911-2986		618	2.0142224581346775%
359 	FT911-42		619	2.0134422318337415%
359 	FT911-200		620	2.0129720800754183%
359 	FT911-3187		621	2.011371787174321%
359 	FT911-3960		622	2.009193353215127%
359 	FT911-1950		623	2.008594006963439%
359 	FT911-4208		624	2.0033008200631888%
359 	FT911-2865		625	2.0022299706660505%
359 	FT911-4225		626	1.998775517917654%
359 	FT911-3229		627	1.9949873731348242%
359 	FT911-5200		628	1.9825844849402265%
359 	FT911-5274		629	1.9802072027918738%
359 	FT911-461		630	1.978719927942322%
359 	FT911-3362		631	1.975120440430337%
359 	FT911-2451		632	1.9750268163091205%
359 	FT911-2751		633	1.9745397981013477%
359 	FT911-534		634	1.973755863965671%
359 	FT911-4699		635	1.9736748817175187%
359 	FT911-3721		636	1.96627608874223%
359 	FT911-2174		637	1.9662758561007458%
359 	FT911-1595		638	1.964737805353966%
359 	FT911-2555		639	1.9627389164910272%
359 	FT911-1953		640	1.9618109597254751%
359 	FT911-4272		641	1.9531029038016314%
359 	FT911-530		642	1.9506173976591594%
359 	FT911-4935		643	1.95031183094286%
359 	FT911-2535		644	1.9450038244916035%
359 	FT911-1914		645	1.9450017810006455%
359 	FT911-1511		646	1.9434640991835561%
359 	FT911-514		647	1.9421665837337798%
359 	FT911-2841		648	1.9380711920166303%
359 	FT911-4840		649	1.9374707830122222%
359 	FT911-3433		650	1.9337986146174209%
359 	FT911-598		651	1.9231922149461307%
359 	FT911-4234		652	1.9198629601243042%
359 	FT911-3909		653	1.9185414477002747%
359 	FT911-3537		654	1.913698666236363%
359 	FT911-5176		655	1.9125831313083916%
359 	FT911-740		656	1.9116719068948356%
